District,Settlement,Settlement_ID,Long,Lat,Tag
Adjumani,Pagirinya Settlement,1,32.00925,3.379,1
Adjumani,"Maaji I,II, III",2,31.66274606,3.19758096,1
Adjumani,"Mungula I, II",3,31.8157116,3.1579196,1
Adjumani,Boroli,4,31.866389,3.299444,1
Adjumani,Nyumanzi,5,31.951458,3.438461,1
Adjumani,"Ayilo I,II",6,31.96233333,3.2566,1
Hoima,Kyangwali,7,30.812695,1.211136,1
Koboko,Kuluba CP,8,30.93260556,3.506605556,1
Arua,Ocea RC (Rhino),9,31.282122,3.072928,1
Arua,Rhino settlement,10,31.353345,2.965111,1
Arua,Imvepi Settlement,11,31.28612293,3.258081008,1
Lamwo,Palabek Settlement,12,32.412692,3.364856,1
Yumbe,Bidibidi Settlement,13,31.44658,3.567,1
Amuru,Elegu CP,14,32.07047,3.567,1
Moyo,Palorinya Settlement,15,31.659742,3.508815,1
Kamwenge,Rwamwanja,16,30.630799,0.321722,1
Kisoro,Nyakabande TC,17,29.733334,-1.283333,1
Isingiro,Nakivale Settlement,18,30.949444,-0.776389,1
Isingiro,Oruchinga,19,30.637274,-0.961159,1
Kyegegwa,Kyaka II settlement,20,31.081311,0.357999,1
Kiryandongo,Kiryandongo TC,21,32.161478,1.938358,1
Kiryandongo,Kiryandongo Settlement,22,32.0651378,1.89279254,1
Kampala,Kampala District,23,,,1
Lamwo,Waligo,24,32.58832813,3.431166626,0
Adjumani,Pagrinya RC1,25,32.003,3.36978,0
Adjumani,Pagrinya RC2,26,32.014,3.38983,0
Koboko,Oraba,27,30.88343845,3.533633654,0
Adjumani,Olua I,28,31.887626,3.249910982,0
Adjumani,Olua II,29,31.884244,3.264945055,0
Lamwo,Ngomoromo,30,32.579444,3.679694,0
Yumbe,Menzere,31,31.1880951,3.707013104,0
Moyo,Metu,32,31.7865,3.671,0
Lamwo,Madi Opei,33,33.101944,3.591111,0
Koboko,Lobule,34,31.033333,3.4,0
Moyo,Afogi,35,31.744,3.754,0
Moyo,Laufori,36,31.59693,3.592,0
Moyo,Kerwa,37,31.25643366,3.748745448,0
Yumbe,Gobolo,38,31.51,3.639,0
Adjumani,Elema,39,31.909797,3.479245,0
Koboko,Busia,40,30.97373166,3.6888497,0
Lamwo,Aweno - Olwi,41,32.747083,3.719556,0
